cpt_id,n_boundaries,method
CPT000000090166,3,scale-aware
CPT000000138807,2,scale-aware
CPT000000161597,3,scale-aware
CPT000000168151,7,scale-aware
CPT000000174708,8,scale-aware
CPT000000175840,9,scale-aware
CPT000000175871,6,scale-aware
CPT000000176408,5,scale-aware
CPT000000177447,7,scale-aware
CPT000000182585,3,scale-aware
CPT000000184806,10,scale-aware
CPT000000184983,10,scale-aware
CPT000000199784,5,scale-aware
CPT000000199942,8,scale-aware
CPT000000200219,2,scale-aware
CPT000000200503,5,scale-aware
CPT000000201404,5,scale-aware
CPT000000202620,7,scale-aware
CPT000000202670,5,scale-aware
CPT000000202778,5,scale-aware
CPT000000205347,5,scale-aware
CPT000000215031,7,scale-aware
CPT000000218609,6,scale-aware
CPT000000222301,5,scale-aware
CPT000000224486,4,scale-aware
CPT000000227723,4,scale-aware
CPT000000228032,4,scale-aware
CPT000000230026,2,scale-aware
CPT000000239561,4,scale-aware
CPT000000241262,9,scale-aware
CPT000000242077,6,scale-aware
CPT000000242800,4,scale-aware
CPT000000247036,6,scale-aware
CPT000000248898,6,scale-aware
CPT000000254313,1,scale-aware
CPT000000090166,7,single-scale
CPT000000138807,4,single-scale
CPT000000161597,4,single-scale
CPT000000168151,10,single-scale
CPT000000174708,8,single-scale
CPT000000175840,11,single-scale
CPT000000175871,9,single-scale
CPT000000176408,5,single-scale
CPT000000177447,10,single-scale
CPT000000182585,3,single-scale
CPT000000184806,13,single-scale
CPT000000184983,19,single-scale
CPT000000199784,7,single-scale
CPT000000199942,11,single-scale
CPT000000200219,2,single-scale
CPT000000200503,7,single-scale
CPT000000201404,8,single-scale
CPT000000202620,10,single-scale
CPT000000202670,8,single-scale
CPT000000202778,5,single-scale
CPT000000205347,6,single-scale
CPT000000215031,8,single-scale
CPT000000218609,16,single-scale
CPT000000222301,10,single-scale
CPT000000224486,8,single-scale
CPT000000227723,7,single-scale
CPT000000228032,10,single-scale
CPT000000230026,2,single-scale
CPT000000239561,6,single-scale
CPT000000241262,14,single-scale
CPT000000242077,10,single-scale
CPT000000242800,8,single-scale
CPT000000247036,13,single-scale
CPT000000248898,10,single-scale
CPT000000254313,5,single-scale
CPT000000090166,37,PELT
CPT000000138807,13,PELT
CPT000000161597,34,PELT
CPT000000168151,75,PELT
CPT000000174708,62,PELT
CPT000000175840,72,PELT
CPT000000175871,52,PELT
CPT000000176408,41,PELT
CPT000000177447,51,PELT
CPT000000182585,36,PELT
CPT000000184806,80,PELT
CPT000000184983,95,PELT
CPT000000199784,30,PELT
CPT000000199942,131,PELT
CPT000000200219,11,PELT
CPT000000200503,18,PELT
CPT000000201404,24,PELT
CPT000000202620,41,PELT
CPT000000202670,44,PELT
CPT000000202778,16,PELT
CPT000000205347,21,PELT
CPT000000215031,63,PELT
CPT000000218609,71,PELT
CPT000000222301,41,PELT
CPT000000224486,32,PELT
CPT000000227723,36,PELT
CPT000000228032,52,PELT
CPT000000230026,30,PELT
CPT000000239561,44,PELT
CPT000000241262,127,PELT
CPT000000242077,72,PELT
CPT000000242800,20,PELT
CPT000000247036,56,PELT
CPT000000248898,49,PELT
CPT000000254313,25,PELT
