cpt_id,boundary_id,z_hat,delta_z,sgs,z_p10,z_p90,support
CPT000000090166,1,1.47,0.020000000000000018,0.9199999999999999,1.358,1.49,5
CPT000000090166,2,3.37,0.0,1.0,3.37,3.37,5
CPT000000090166,3,5.249,0.0,1.0,5.193,5.249,4
CPT000000138807,1,11.388,0.0,1.0,11.388,11.667,5
CPT000000138807,2,12.843,0.0,1.0,12.843,13.052299999999999,4
CPT000000161597,1,2.429,0.0,1.0,2.411,2.429,5
CPT000000161597,2,3.339,0.0,1.0,3.339,3.349,5
CPT000000161597,3,7.699,0.0,1.0,7.699,7.699,5
CPT000000168151,1,5.939,0.0,1.0,5.939,5.939,5
CPT000000168151,2,8.304,0.0,1.0,8.292,8.304,5
CPT000000168151,3,9.172,0.0,1.0,9.166,9.172,5
CPT000000168151,4,11.92,0.004999999999999893,0.9800000000000004,11.8367,11.927,4
CPT000000168151,5,15.792,0.0,1.0,15.792,15.792,5
CPT000000168151,6,17.475,0.0,1.0,17.463,17.475,5
CPT000000168151,7,19.631,0.0,1.0,19.631,19.7276,4
CPT000000174708,1,0.559,0.0,1.0,0.41500000000000004,0.559,5
CPT000000174708,2,2.229,0.0,1.0,2.2150000000000003,2.229,4
CPT000000174708,3,4.348,0.0,1.0,4.348,4.383,4
CPT000000174708,4,9.183,0.0,1.0,9.183,9.197,4
CPT000000174708,5,10.042,0.0,1.0,10.035,10.042,4
CPT000000174708,6,11.17,0.0,1.0,11.17,11.176,5
CPT000000174708,7,16.885,0.0,1.0,16.885,16.891000000000002,5
CPT000000174708,8,19.397,0.0,1.0,19.397,19.5692,5
CPT000000175840,1,1.999,0.0,1.0,1.993,1.999,5
CPT000000175840,2,14.212,0.0,1.0,14.212,14.212,5
CPT000000175840,3,16.099,0.0,1.0,16.099,16.099,5
CPT000000175840,4,18.318,0.0,1.0,18.262,18.318,4
CPT000000175840,5,19.606,0.0,1.0,19.606,19.606,5
CPT000000175840,6,22.135,0.0,1.0,22.039,22.135,5
CPT000000175840,7,25.523,0.0,1.0,25.523,25.523,5
CPT000000175840,8,27.921,0.0,1.0,27.805600000000002,27.921,5
CPT000000175840,9,30.488,0.0,1.0,30.47,30.644000000000002,5
CPT000000175871,1,15.307,0.0,1.0,15.307,15.307,4
CPT000000175871,2,19.012,0.0,1.0,19.012,19.19,5
CPT000000175871,3,20.51,0.0,1.0,20.492,20.51,5
CPT000000175871,4,22.248,0.0,1.0,22.248,22.276,4
CPT000000175871,5,24.176,0.010000000000001563,0.9599999999999937,24.156,24.186,5
CPT000000175871,6,25.285,0.0,1.0,25.285,25.285,5
CPT000000176408,1,9.795,0.0,1.0,9.795,9.795,5
CPT000000176408,2,10.624,0.0,1.0,10.624,10.648,5
CPT000000176408,3,12.612,0.0,1.0,12.612,12.612,5
CPT000000176408,4,13.68,0.0,1.0,13.68,13.68,5
CPT000000176408,5,17.522,0.0,1.0,17.366,17.522,5
CPT000000177447,1,1.179,0.0,1.0,0.987,1.179,5
CPT000000177447,2,11.648,0.0,1.0,11.648,11.648,5
CPT000000177447,3,19.339,0.0,1.0,19.319,19.339,5
CPT000000177447,4,21.635,0.0,1.0,21.605,21.635,5
CPT000000177447,5,22.712,0.0,1.0,22.664,22.712,5
CPT000000177447,6,25.872,0.0,1.0,25.872,25.8783,4
CPT000000177447,7,27.255,0.0,1.0,27.255,27.255,4
CPT000000182585,1,0.749,0.0,1.0,0.671,0.749,5
CPT000000182585,2,1.579,0.0,1.0,1.579,1.593,4
CPT000000182585,3,10.237,0.0,1.0,10.081,10.237,5
CPT000000184806,1,4.722,0.0,1.0,4.722,4.722,5
CPT000000184806,2,5.99,0.0,1.0,5.99,6.011,4
CPT000000184806,3,6.868,0.0,1.0,6.868,7.0040000000000004,5
CPT000000184806,4,8.805,0.0,1.0,8.805,8.847,5
CPT000000184806,5,15.146,0.0,1.0,15.146,15.146,5
CPT000000184806,6,16.543,0.0,1.0,16.543,16.543,5
CPT000000184806,7,17.751,0.0,1.0,17.751,17.751,4
CPT000000184806,8,19.448,0.0,1.0,19.448,19.448,4
CPT000000184806,9,26.273,0.0,1.0,26.233,26.273,5
CPT000000184806,10,29.748,0.005000000000000782,0.9799999999999969,29.741,29.8726,4
CPT000000184983,1,7.43,0.020000000000000462,0.9199999999999982,7.138,7.45,5
CPT000000184983,2,9.98,0.020000000000000462,0.9199999999999982,9.956,10.032,4
CPT000000184983,3,15.28,0.0,1.0,15.28,15.308,4
CPT000000184983,4,19.52,0.0,1.0,19.52,19.52,5
CPT000000184983,5,20.93,0.010000000000001563,0.9599999999999937,20.724,20.94,4
CPT000000184983,6,28.69,0.0,1.0,28.678,28.69,5
CPT000000184983,7,29.55,0.0,1.0,29.55,29.55,5
CPT000000184983,8,31.96,0.0,1.0,31.96,31.96,5
CPT000000184983,9,33.79,0.0,1.0,33.394,33.79,5
CPT000000184983,10,36.7,0.010000000000001563,0.9599999999999937,36.676,36.71,4
CPT000000199784,1,4.819,0.0,1.0,4.819,4.8344,5
CPT000000199784,2,7.787,0.0,1.0,7.787,7.787,5
CPT000000199784,3,9.524,0.0,1.0,9.3147,9.524,4
CPT000000199784,4,11.71,0.0,1.0,11.71,11.71,5
CPT000000199784,5,13.355,0.0,1.0,13.345,13.355,5
CPT000000199942,1,3.659,0.0,1.0,3.652,3.659,4
CPT000000199942,2,4.679,0.0,1.0,4.667,4.679,5
CPT000000199942,3,7.089,0.0,1.0,7.083,7.089,5
CPT000000199942,4,11.565,0.0,1.0,11.565,11.572,4
CPT000000199942,5,12.644,0.0,1.0,12.644,12.6853,4
CPT000000199942,6,17.198,0.0,1.0,17.198,17.198,5
CPT000000199942,7,18.166,0.0,1.0,18.166,18.166,5
CPT000000199942,8,20.159,0.0,1.0,20.159,20.245,5
CPT000000200219,1,11.98,0.0,1.0,11.98,11.98,5
CPT000000200219,2,13.38,0.0,1.0,13.38,13.38,5
CPT000000200503,1,3.06,0.0,1.0,3.06,3.06,5
CPT000000200503,2,3.88,0.0,1.0,3.88,3.96,5
CPT000000200503,3,7.06,0.0,1.0,7.06,7.06,5
CPT000000200503,4,12.43,0.0,1.0,12.43,12.43,5
CPT000000200503,5,14.370000000000001,0.14000000000000057,0.4399999999999977,14.23,14.622,4
CPT000000201404,1,0.91,0.020000000000000018,0.9199999999999999,0.8420000000000001,0.942,5
CPT000000201404,2,7.049,0.0,1.0,7.049,7.061,5
CPT000000201404,3,9.628,0.0,1.0,9.628,9.655999999999999,4
CPT000000201404,4,16.586,0.0,1.0,16.586,16.618000000000002,5
CPT000000201404,5,18.906,0.0,1.0,18.906,18.994,5
CPT000000202620,1,6.699,0.0,1.0,6.689,6.699,5
CPT000000202620,2,7.564,0.020000000000000018,0.9199999999999999,7.5280000000000005,7.586,4
CPT000000202620,3,9.029,0.019999999999999574,0.9200000000000017,8.739,9.041,5
CPT000000202620,4,10.338,0.010000000000001563,0.9599999999999937,10.238,10.348,5
CPT000000202620,5,13.135,0.0,1.0,13.135,13.135,5
CPT000000202620,6,14.603,0.009999999999999787,0.9600000000000009,14.593,14.641,4
CPT000000202620,7,17.274,0.125,0.5,17.149,17.615299999999998,4
CPT000000202670,1,9.359,0.0,1.0,9.359,9.359,5
CPT000000202670,2,14.514,0.019999999999999574,0.9200000000000017,14.486,14.654,4
CPT000000202670,3,15.573,0.02999999999999936,0.8800000000000026,15.233600000000001,15.591,5
CPT000000202670,4,17.25,0.0,1.0,17.25,17.262,5
CPT000000202670,5,18.248,0.03450000000000131,0.8619999999999948,18.1997,18.311,4
CPT000000202778,1,7.504,0.0,1.0,7.293,7.504,5
CPT000000202778,2,8.850999999999999,0.020000000000000462,0.9199999999999982,8.827,9.0143,4
CPT000000202778,3,17.129,0.0,1.0,17.129,17.129,5
CPT000000202778,4,18.514,0.0,1.0,18.4546,18.538,5
CPT000000202778,5,19.8,0.03999999999999915,0.8400000000000034,19.677599999999998,19.84,5
CPT000000205347,1,14.22,0.0,1.0,14.22,14.232000000000001,5
CPT000000205347,2,15.14,0.0,1.0,15.14,15.14,5
CPT000000205347,3,16.32,0.0,1.0,16.104,16.32,5
CPT000000205347,4,17.55,0.0,1.0,17.53,17.55,5
CPT000000205347,5,18.65,0.0,1.0,18.63,18.65,5
CPT000000215031,1,1.791,0.0,1.0,1.743,1.791,5
CPT000000215031,2,4.0,0.0,1.0,4.0,4.018,5
CPT000000215031,3,7.809,0.125,0.5,7.682,8.013,4
CPT000000215031,4,9.148,0.0,1.0,9.148,9.148,5
CPT000000215031,5,10.058,0.0,1.0,10.058,10.058,5
CPT000000215031,6,13.306,0.0,1.0,13.306,13.306,4
CPT000000215031,7,14.440000000000001,0.004999999999999893,0.9800000000000004,14.435,14.445,4
CPT000000218609,1,9.87,0.0,1.0,9.87,9.87,5
CPT000000218609,2,13.87,0.0,1.0,13.87,14.001999999999999,5
CPT000000218609,3,16.07,0.0,1.0,15.926,16.082,5
CPT000000218609,4,20.49,0.0,1.0,20.49,20.55,5
CPT000000218609,5,24.11,0.0,1.0,24.11,24.11,5
CPT000000218609,6,28.82,0.03999999999999915,0.8400000000000034,28.78,29.02,5
CPT000000222301,1,2.5,0.16000000000000014,0.35999999999999943,2.26,2.596,5
CPT000000222301,2,11.0,0.019999999999999574,0.9200000000000017,10.98,11.04,5
CPT000000222301,3,12.3,0.0,1.0,12.3,12.332,5
CPT000000222301,4,17.04,0.0,1.0,17.04,17.04,4
CPT000000222301,5,18.24,0.20000000000000284,0.19999999999998863,17.9,18.44,5
CPT000000224486,1,1.098,0.0,1.0,1.098,1.098,5
CPT000000224486,2,5.625,0.0,1.0,5.619,5.625,5
CPT000000224486,3,8.629,0.0,1.0,8.539,8.629,5
CPT000000224486,4,9.511,0.004999999999999893,0.9800000000000004,9.506,9.516,4
CPT000000227723,1,1.22,0.0,1.0,1.22,1.22,5
CPT000000227723,2,19.45,0.0,1.0,19.436,19.45,4
CPT000000227723,3,20.57,0.0,1.0,20.57,20.618,5
CPT000000227723,4,21.53,0.019999999999999574,0.9200000000000017,21.51,21.848,5
CPT000000228032,1,0.64,0.0,1.0,0.472,0.64,5
CPT000000228032,2,2.42,0.0,1.0,2.42,2.42,5
CPT000000228032,3,5.49,0.019999999999999574,0.9200000000000017,5.478,5.51,5
CPT000000228032,4,9.26,0.0,1.0,9.236,9.26,5
CPT000000230026,1,5.48,0.03999999999999915,0.8400000000000034,5.336,5.52,5
CPT000000230026,2,8.98,0.0,1.0,8.956,8.98,5
CPT000000239561,1,4.642,0.0,1.0,4.642,4.642,5
CPT000000239561,2,6.268,0.0,1.0,6.268,6.268,5
CPT000000239561,3,8.164,0.0,1.0,8.164,8.1694,5
CPT000000239561,4,10.539,0.0,1.0,10.539,10.539,5
CPT000000241262,1,9.087,0.0,1.0,9.087,9.115,4
CPT000000241262,2,17.983,0.015000000000000568,0.9399999999999977,17.968,17.998,4
CPT000000241262,3,20.701999999999998,0.009999999999999787,0.9600000000000009,20.692,20.8443,4
CPT000000241262,4,22.418,0.0,1.0,22.418,22.418,5
CPT000000241262,5,24.367,0.0,1.0,24.367,24.373,5
CPT000000241262,6,26.173,0.0,1.0,26.0001,26.173,4
CPT000000241262,7,30.672,0.0,1.0,30.349,30.672,5
CPT000000241262,8,32.986,0.0,1.0,32.986,32.986,4
CPT000000241262,9,34.66,0.0,1.0,34.66,34.693599999999996,4
CPT000000242077,1,7.66,0.0,1.0,7.66,7.66,5
CPT000000242077,2,9.94,0.03999999999999915,0.8400000000000034,9.768,10.132,5
CPT000000242077,3,15.97,0.019999999999999574,0.9200000000000017,15.93,15.99,5
CPT000000242077,4,20.27,0.019999999999999574,0.9200000000000017,20.25,20.39,5
CPT000000242077,5,22.02,0.0,1.0,21.82,22.02,5
CPT000000242077,6,24.22,0.0,1.0,24.064,24.22,5
CPT000000242800,1,7.987,0.0,1.0,7.987,7.987,5
CPT000000242800,2,9.086,0.0,1.0,9.086,9.146,5
CPT000000242800,3,10.345,0.0,1.0,10.286,10.345,5
CPT000000242800,4,14.004,0.0,1.0,14.004,14.004,4
CPT000000247036,1,0.5,0.0,1.0,0.5,0.5,4
CPT000000247036,2,3.2300000000000004,0.010000000000000231,0.9599999999999991,3.22,3.45,4
