figure,short_title,file_name,file_type,source_file,size_mb,width_px,height_px,png_dpi,sha256,caption
Figure 1,Scale-aware CPT boundary reporting workflow,Figure_1_workflow.pdf,PDF,<PROJECT_ROOT>\outputs_paper1_v2\paper1_analysis_publication_polished_v1_3\fig1_workflow_polished.pdf,0.029,,,,127a69c7abf474928803d14aaef6e73747e21c2097fb7e4495aca9151185ad6e,"Workflow of the scale-aware CPT boundary reporting framework. Public BRO CPT/CPTu data are first subjected to quality control, depth-grid regularization, and multi-scale filtering. Candidate boundary evidence is then summarized through boundary locations, P10-P90 uncertainty bands, and scale-stability/confidence scores. The lower branch shows the validation and robustness components used in this study, including synthetic boundary recovery, baseline comparison, and parameter-sensitivity analysis."
Figure 1,Scale-aware CPT boundary reporting workflow,Figure_1_workflow.png,PNG,<PROJECT_ROOT>\outputs_paper1_v2\paper1_analysis_publication_polished_v1_3\fig1_workflow_polished.png,0.770,6003,4338,450 x 450,2ee5d4b2af585318176b735bf1fa1f4fb303ec5f74976e5ad36d45c43c550709,"Workflow of the scale-aware CPT boundary reporting framework. Public BRO CPT/CPTu data are first subjected to quality control, depth-grid regularization, and multi-scale filtering. Candidate boundary evidence is then summarized through boundary locations, P10-P90 uncertainty bands, and scale-stability/confidence scores. The lower branch shows the validation and robustness components used in this study, including synthetic boundary recovery, baseline comparison, and parameter-sensitivity analysis."
Figure 2,Spatial distribution of BRO CPT soundings,Figure_2_spatial_distribution.pdf,PDF,<PROJECT_ROOT>\outputs_paper1_v2\paper1_analysis_publication_polished_v1_3\fig2_nl_pointmap_polished.pdf,0.392,,,,56bf4dd6f6175103a6a1bae28f4d80f3db79b11d54d943ab81d5e21645395c75,"Spatial distribution of the Netherlands CPT soundings used for boundary reporting. Point color represents the mean scale-stability score (SGS) of detected boundaries within each CPT sounding, whereas point size represents the number of detected boundaries per sounding. The inset highlights the densest sampled area. The map is used to document the spatial coverage of the real-data evaluation set rather than to infer regional geotechnical zoning."
Figure 2,Spatial distribution of BRO CPT soundings,Figure_2_spatial_distribution.png,PNG,<PROJECT_ROOT>\outputs_paper1_v2\paper1_analysis_publication_polished_v1_3\fig2_nl_pointmap_polished.png,1.217,3967,4446,450 x 450,b82ad9cec4e291ecdbe2d18b02b78b7694113ce735f8b5c3ccfeecada07fd0be,"Spatial distribution of the Netherlands CPT soundings used for boundary reporting. Point color represents the mean scale-stability score (SGS) of detected boundaries within each CPT sounding, whereas point size represents the number of detected boundaries per sounding. The inset highlights the densest sampled area. The map is used to document the spatial coverage of the real-data evaluation set rather than to infer regional geotechnical zoning."
Figure 3,Representative CPT profiles with boundary uncertainty bands,Figure_3_representative_CPT_profiles.pdf,PDF,<PROJECT_ROOT>\outputs_paper1_v2\paper1_analysis_publication_polished_v1_3\fig3_cpt_panels_polished.pdf,0.081,,,,1583f61ffc9566f5627acc8f0e395aae18396487e64b7cf1495d75f76a29800d,"Representative real CPT soundings with data-driven boundary locations and uncertainty bands. Each panel shows measured and smoothed CPT profile variables for a selected BRO CPT sounding, together with detected stratigraphic boundary depths. Horizontal lines indicate estimated boundary locations, and shaded intervals represent the corresponding P10-P90 uncertainty bands. Boundary colors denote confidence classes derived from the scale-aware boundary evidence."
Figure 3,Representative CPT profiles with boundary uncertainty bands,Figure_3_representative_CPT_profiles.png,PNG,<PROJECT_ROOT>\outputs_paper1_v2\paper1_analysis_publication_polished_v1_3\fig3_cpt_panels_polished.png,1.062,5204,4360,450 x 450,2d42c737dc26f145a4f95ed7609847f7347836b6155ce2c9f15c29698718a840,"Representative real CPT soundings with data-driven boundary locations and uncertainty bands. Each panel shows measured and smoothed CPT profile variables for a selected BRO CPT sounding, together with detected stratigraphic boundary depths. Horizontal lines indicate estimated boundary locations, and shaded intervals represent the corresponding P10-P90 uncertainty bands. Boundary colors denote confidence classes derived from the scale-aware boundary evidence."
Figure 4,Synthetic validation of boundary recovery,Figure_4_synthetic_validation.pdf,PDF,<PROJECT_ROOT>\outputs_paper1_v2\paper1_analysis_publication_polished_v1_3\fig4_synthetic_validation_polished.pdf,0.026,,,,964a14bb8d135d482d091f4009f80e26fac9681acf542a3976bbad5522269fed,"Synthetic validation of boundary recovery under increasing relative noise levels. Panel (a) reports mean precision, recall, and F1 score for recovered boundaries, and panel (b) reports the matched-boundary mean absolute error (MAE). Points represent mean values at each noise level, and shaded envelopes indicate +/-1 standard deviation across synthetic profiles or replicates. The validation evaluates whether the scale-aware procedure can recover known boundary locations under controlled uncertainty."
Figure 4,Synthetic validation of boundary recovery,Figure_4_synthetic_validation.png,PNG,<PROJECT_ROOT>\outputs_paper1_v2\paper1_analysis_publication_polished_v1_3\fig4_synthetic_validation_polished.png,0.434,4687,2900,450 x 450,fa1c8212270e684f4da519c73abc852fac55d18f2f1639e6d6ebfb883f9b8df3,"Synthetic validation of boundary recovery under increasing relative noise levels. Panel (a) reports mean precision, recall, and F1 score for recovered boundaries, and panel (b) reports the matched-boundary mean absolute error (MAE). Points represent mean values at each noise level, and shaded envelopes indicate +/-1 standard deviation across synthetic profiles or replicates. The validation evaluates whether the scale-aware procedure can recover known boundary locations under controlled uncertainty."
Figure 5,Baseline comparison of real-data boundary counts,Figure_5_baseline_comparison.pdf,PDF,<PROJECT_ROOT>\outputs_paper1_v2\paper1_analysis_publication_polished_v1_3\fig5_baseline_comparison_polished.pdf,0.031,,,,8d0d5b579006344ce8f73938d020c73478fd70524f49fd728885b05d220ce7d4,"Baseline comparison of detected boundary counts on real-data CPT soundings. Panel (a) shows the distribution of boundary counts per CPT sounding for the scale-aware method, the single-scale baseline, and the PELT baseline using violin plots, box plots, and individual sounding-level values. Panel (b) compares the corresponding mean segmentation density. The scale-aware method produced a lower mean boundary density than both baselines, with mean counts of 5.37, 8.40, and 48.63 boundaries per CPT for the scale-aware, single-scale, and PELT methods, respectively."
Figure 5,Baseline comparison of real-data boundary counts,Figure_5_baseline_comparison.png,PNG,<PROJECT_ROOT>\outputs_paper1_v2\paper1_analysis_publication_polished_v1_3\fig5_baseline_comparison_polished.png,0.469,5082,2856,450 x 450,c25ecc84c89e1ec08011d416b388af8336643fb7291c4c64bacfd3dd67e03ebb,"Baseline comparison of detected boundary counts on real-data CPT soundings. Panel (a) shows the distribution of boundary counts per CPT sounding for the scale-aware method, the single-scale baseline, and the PELT baseline using violin plots, box plots, and individual sounding-level values. Panel (b) compares the corresponding mean segmentation density. The scale-aware method produced a lower mean boundary density than both baselines, with mean counts of 5.37, 8.40, and 48.63 boundaries per CPT for the scale-aware, single-scale, and PELT methods, respectively."
