cpt_id,test_pk,n_samples,depth_min,depth_max,depth_range
CPT000000090166,82890,757,0.01,15.11,15.1
CPT000000138807,124881,773,0.01,15.412,15.402000000000001
CPT000000161597,146759,1501,0.01,15.009,14.999
CPT000000168151,153118,2001,0.01,19.917,19.907
CPT000000174708,159555,2001,0.01,19.952,19.942
CPT000000175840,160664,3102,0.01,30.978,30.968
CPT000000175871,160695,3102,0.01,30.988,30.977999999999998
CPT000000176408,161224,2001,0.01,19.983,19.973
CPT000000177447,162155,2801,0.01,27.972,27.962
CPT000000182585,166775,1102,0.01,11.017,11.007
CPT000000184806,168801,3004,0.01,29.956,29.945999999999998
CPT000000184983,168969,1872,0.67,38.01,37.339999999999996
CPT000000199784,183511,1503,0.01,15.008,14.998
CPT000000199942,183669,2511,0.01,25.051,25.040999999999997
CPT000000200219,183917,645,2.08,14.95,12.87
CPT000000200503,184201,745,0.08,14.95,14.87
CPT000000201404,185050,962,0.71,19.925,19.215
CPT000000202620,186264,2009,0.0,20.063,20.063
CPT000000202670,186314,1837,0.0,18.348,18.348
CPT000000202778,186422,998,0.01,19.86,19.849999999999998
CPT000000205347,188894,978,0.68,20.19,19.51
CPT000000215031,197942,1424,1.1,15.305,14.205
CPT000000218609,201303,1798,0.1,36.01,35.91
CPT000000222301,204762,995,0.08,19.96,19.880000000000003
CPT000000224486,206815,1358,0.01,13.554,13.544
CPT000000227723,209910,1247,0.1,24.96,24.86
CPT000000228032,210219,1246,0.1,24.94,24.84
CPT000000230026,212171,494,0.08,9.93,9.85
CPT000000239561,221104,1501,0.01,14.98,14.97
CPT000000241262,222642,3541,0.01,35.116,35.106
CPT000000242077,223457,1247,0.08,24.93,24.85
CPT000000242800,224154,932,1.51,20.12,18.61
CPT000000247036,228036,1498,0.08,29.99,29.91
CPT000000248898,229277,2601,0.01,26.009,25.999
CPT000000254313,233203,669,0.1,13.44,13.34
